Unnamed: 0,Tweet,Location,year,month,day,Sentiment
69, حق الحياة  حق الحرية  حق العدالة  حق العمل  حق التعليم  حق إبداء الرأي   حق حفظ الكرامة الإنسانية  حقوق نسمع بها ولكننا لا نراها في دولنا  السيسيبيسلممصر   محمدصلاح   الفيفا  فودافون  ضياءحمارشه   نجدهباحثيمصر  الدكتوراهللجهازالاداري,Cairo ,2022,3,30,negative
70,مليار دولار وديعة لحساب مصر وضعتها السعودية فى البنك المركزى  مما يجعلنى اتسائل عن مسيرة الاصلاح التى تنتهى دوما بالاقتراض او المعونات  واتسائل عن الثمن ولاتقل حضن عربي  السيسيبيسلممصر محمدصلاح الفيفا فودافون  ضياءحمارشه   نجدهباحثيمصر  الدكتوراهللجهازالاداري,Cairo ,2022,3,30,negative
71,تعبنا المرحلة اللى جاية عشان اعمل مكالمة من الخط محتاج اطلع برج ايڤيل     فودافون,Tanta ,2022,3,30,negative
72,السرقه هتعوض الخساره  فودافون,مصر,2022,3,30,negative
73,ده فودافون بعد متحل المشكله هتخصم منكم من هنا ليوم القيامه فودافون,ismailia,2022,3,30,negative
74,عاجل  عطل فني خارج عن إرادتنا  أول تعليق من فودافون على مشاكل الخدمة  صدىالبلد البلد ,Egypt,2022,3,30,neutral
75,كنت زعلانة ان فودافون واقعة عندي اهي وقعت في مصر كلها ,cairo ,2022,3,30,negative
76,تعالوووو رومالأخواتكلناعيلةلتزويدالمتابعين فودافون دعملوز ,فلسطين - غزة,2022,3,30,negative
77,افتح نت ببلاش ازاي من غير م الباقه تخلص فودافون,mansoura ,2022,3,30,positive
78,المشكله لم تنتهي والتطبيق مش بيظهر استهلاك الداتا فودافون,"Cairo, Egypt",2022,3,30,negative
79,محمود عباس أدان عملية تل أبيب البطولية إداناتكم تحت نعل الشهيد ضياء ومن سبقه وتحت نعل كل مقاوم في فلسطين وخارجها   كفرالشيخ السيسيبيسلممصر   محمدصلاح   الفيفا  فودافون  ضياءحمارشه   نجدهباحثيمصر  الدكتوراهللجهازالاداري,مصر القاهرة,2022,3,30,negative
80,أول من يعتذر هو الأشجع وأول من يسامح هو الأقوى وأول من ينسى هو الأسعد    السيسيبيسلممصر   محمدصلاح   الفيفا  فودافون  ضياءحمارشه   نجدهباحثيمصر  الدكتوراهللجهازالاداري,Egypt ,2022,3,30,negative
81,واضحة  هذه تركيا الغدر والخيانة  السفارة التركية في الكيانالمؤقت تصف عملية بني براك أمس بالهجوم الإرهابي وتعبر عن حزنها   كفرالشيخ السيسيبيسلممصر   محمدصلاح   الفيفا  فودافون  ضياءحمارشه   نجدهباحثيمصر  الدكتوراهللجهازالاداري,مصر القاهرة,2022,3,30,negative
82,لو كان الإنسان يستغفر أكثر مما يشتكي لوجد راحته قبل ان يشتكي السيسيبيسلممصر   محمدصلاح   الفيفا  فودافون  ضياءحمارشه   نجدهباحثيمصر  الدكتوراهللجهازالاداري,Egypt ,2022,3,30,negative
83,رغم إن خطي فودافون بس أنا ولا بتصل بحد ولا حد بيتصل عليا ووسيلة التواصل بالنسبالي بقت واتس وتقريبا مشحنتش من السنة اللي فات وبفتح واي فاي كمان  فـ حوار فودافون مأثرش معايا ولا بالإيجاب ولا بالسلب    فودافون,"Cairo, Egypt",2022,3,30,neutral
84,تعالووو الحفله مكلمه  تيمالأخواتلتزويدالمتابعين دعملوز فودافون ,فلسطين - غزة,2022,3,30,neutral
85, الشبكة وحشة جداااااا و النت بعتهم كمان  فودافون  ,"Cairo, Egypt",2022,3,30,positive
86,الحفله مكمله تعالو  تيمالأخواتلتزويدالمتابعين دعملوز فودافون ,فلسطين - غزة,2022,3,30,neutral
87,بيقولوا دايره ميغا و اي حد معاه خط فودافون مكسر الدنيا بالنت بتاعها حتي لو باقته خلصانه   فودافون,"Cairo, Egypt",2022,3,30,negative
88,في وقت الشدة فقط تعرف من هم أحبابك ومن هم أسوأ إختياراتك السيسيبيسلممصر محمدصلاح الفيفا فودافون  ضياءحمارشه   نجدهباحثيمصر  الدكتوراهللجهازالاداري,مصر القاهرة,2022,3,30,negative
89,فودافون الشبكة تقريبا واقعة عندي طوال السنة وطول النهار حتي بعد ماقالوا صرفنا عليها مليار وسرعنا الانترنت هذا كذب بصوت دكتور محمد عمارة وهو بيبستف نوال السعداوي  وسط البلد ,"القاهرة, مصر",2022,3,30,negative
90,ردد معى انشر معى اكتب معى تفاعل معى اصرخ معى اسمه الكيانالمؤقت وليس إسرائيل  دعنا نفرض مصطلحاتنا ولتكن الجولة الأخيرة بينهم وبيننا    السيسيبيسلممصر محمدصلاح الفيفا فودافون  ضياءحمارشه   نجدهباحثيمصر  الدكتوراهللجهازالاداري,مصر القاهرة,2022,3,30,negative
91,مليار دولار وديعة لحساب مصر وضعتها السعودية فى البنك المركزى  مما يجعلنى اتسائل عن مسيرة الاصلاح التى تنتهى دوما بالاقتراض او المعونات  واتسائل عن الثمن ولاتقل حضن عربي  السيسيبيسلممصر محمدصلاح الفيفا فودافون  ضياءحمارشه   نجدهباحثيمصر  الدكتوراهللجهازالاداري,مصر القاهرة,2022,3,30,negative
92,محدش يعرف اخزن نت فودافون ازاي لرمضان  فودافون,"Beni Suef, Egypt",2022,3,30,negative
93,عمليةبنيبراك مليارات صرفت لاجل التطبيع وقمم يقودها قطيع  ثم ياتى شباب ثائر  يجعل حلمهم صريع  السيسيبيسلممصر   محمدصلاح   الفيفا  فودافون  ضياءحمارشه   نجدهباحثيمصر  الدكتوراهللجهازالاداري,مصر القاهرة,2022,3,30,negative
94,دعم يا شباب سواء كنتم صيادلة او لا  توصياتالنوابلتكليفالصيادلة اعلانتكليفصيدله فودافون,Tanta,2022,3,30,neutral
95,العين اللي تستصغرك اعميها       محمدصلاح   الفيفا  فودافون  ضياءحمارشه        نجدهباحثيمصر  الدكتوراهللجهازالاداري رمضان,Egypt,2022,3,30,negative
96,صحيفة يديعوت احرنوت الإسرائيلية  كنا في السابق نخاف الصعود في الحافلات أما الآن اصبحنا نخاف السير في الشوارع العامة  السيسيبيسلممصر   محمدصلاح   الفيفا  فودافون  ضياءحمارشه   نجدهباحثيمصر  الدكتوراهللجهازالاداري,مصر القاهرة,2022,3,30,negative
97,أما الود فكلهم يتظاهرون به  وأما المواقف فهي التي تثبت أو تنفي       السيسيبيسلممصر   محمدصلاح   الفيفا  فودافون  ضياءحمارشه   نجدهباحثيمصر  الدكتوراهللجهازالاداري,Egypt,2022,3,30,negative
98,أما الود فكلهم يتظاهرون به  وأما المواقف فهي التي تثبت أو تنفي       السيسيبيسلممصر   محمدصلاح   الفيفا  فودافون  ضياءحمارشه   نجدهباحثيمصر  الدكتوراهللجهازالاداري,Egypt,2022,3,30,negative
99,اختر الذي يعطيك التبرير دون طلب خوفا عليك من ازدحام الأفكار  السيسيبيسلممصر  محمدصلاح   الفيفا       فودافون  ضياءحمارشه   نجدهباحثيمصر  الدكتوراهللجهازالاداري,Egypt,2022,3,30,negative
100,لقد كنت صامتا لكنني لم أكن أعمى   فودافون   الفيفا مصرالسنغال,Egypt,2022,3,30,negative
101,ليست العودة إلى الإسلام أن نكتب على رايتنا الله اكبر بل العودة إلى الإسلام أن نملأ قلوبنا الله أكبر ونجعلها باعث اعمالنا وهدف حياتنا  السيسيبيسلممصر  محمدصلاح   الفيفا       فودافون  ضياءحمارشه   نجدهباحثيمصر  الدكتوراهللجهازالاداري,Egypt,2022,3,30,positive
102, حق الحياة  حق الحرية  حق العدالة  حق العمل  حق التعليم  حق إبداء الرأي   حق حفظ الكرامة الإنسانية  حقوق نسمع بها ولكننا لا نراها في دولنا  السيسيبيسلممصر   محمدصلاح   الفيفا    ضياءحمارشه   نجدهباحثيمصر  الدكتوراهللجهازالاداري فودافون,Egypt,2022,3,30,negative
103, حق الحياة  حق الحرية  حق العدالة  حق العمل  حق التعليم  حق إبداء الرأي   حق حفظ الكرامة الإنسانية  حقوق نسمع بها ولكننا لا نراها في دولنا  السيسيبيسلممصر   محمدصلاح   الفيفا  فودافون  ضياءحمارشه   نجدهباحثيمصر  الدكتوراهللجهازالاداري,Egypt ,2022,3,30,negative
104,جماعة اللى فاتح نت يقفل علشان انا بحمل  مسلسلات والنت تقيل فودافون,"Alexandria, Egypt",2022,3,30,negative
105,لقد كنت صامتا لكنني لم أكن أعمى   فودافون   الفيفا,Egypt ,2022,3,30,negative
106,اختر الذي يعطيك التبرير دون طلب خوفا عليك من ازدحام الأفكار  السيسيبيسلممصر  محمدصلاح   الفيفا       فودافون  ضياءحمارشه   نجدهباحثيمصر  الدكتوراهللجهازالاداري,Egypt ,2022,3,30,negative
107,أما الود فكلهم يتظاهرون به  وأما المواقف فهي التي تثبت أو تنفي       السيسيبيسلممصر   محمدصلاح   الفيفا  فودافون  ضياءحمارشه   نجدهباحثيمصر  الدكتوراهللجهازالاداري,Egypt ,2022,3,30,negative
108,العين اللي تستصغرك اعميها       محمدصلاح   الفيفا  فودافون  ضياءحمارشه        نجدهباحثيمصر  الدكتوراهللجهازالاداري,Egypt ,2022,3,30,negative
109,خطوات حل مشكلة تعطل شبكة فودافون بمصر ,"Cairo, Egypt",2022,3,30,neutral
110,تعالوووو تيمالأخواتلتزويدالمتابعين دعملوز فودافون ,فلسطين - غزة,2022,3,30,neutral
111,فيتو المشكلة استغرقت ساعة فودافون تعلن حل العطل الفني في الشبكة  ,مصر,2022,3,30,neutral
112,فرحان فيهم والله بس مش هاسرقهم حرام دي أيام مفترجة فودافون,"Alexandria, Egypt",2022,3,30,negative
113,تعالو الحفله بدات  تيمالأخواتلتزويدالمتابعين تيمالأخوات فودافون ,فلسطين - غزة,2022,3,30,negative
114,فودافون رمضانكريم الله اكرم رمضان على الأبواب  وبعض الفضائيات بدأت السباق لعرض ما يشغل الصائمين  ويفسد على الناس صومهم  و العاقل  من يحسن إستثمار لياليه وأيامه  المعدودات في التقرب لخالقه  وطلب مرضاته  وسؤاله من واسع فضله وتفريج كرباته ,مصر,2022,3,30,positive
115,الحفله بدات تعالوووو تيمالأخواتلتزويدالمتابعين تيمالأخوات فودافون ,فلسطين - غزة,2022,3,30,negative
116,شركة فودافون ,"Giza, Egypt",2022,3,30,neutral
117,فودافون  العطل ده م دعانا عليكم ياحرامين الرصيد يا معدومى الشبكة,"El Sharkia, Egypt",2022,3,30,negative
118,هو دا الى النت بقا سريع دا الباقة بتاعتي كانت من ضمن النت المجانى ولا اى فودافون ,الزقازيق,2022,3,30,neutral
119,فودافون  أقوي شبكة في مصر   ما أنا عرفت  ,المنيا,2022,3,30,negative
120,ي نااس يا اهل البلد  شبكه فودافون السيستم بتاعها واقع والنت شغال لوحده ," El Fayoum , Egypt",2022,3,30,negative
121,سيستم فودافون وقع و النت فتح مجاني   المصريين  فودافون ,Mansoura,2022,3,30,neutral
122,شركه فودافون تعلن خسارتها اليوم  مليون جنيه استهلاك عملاء فودافون للنت المجاني اليوم بعد وقوع السيستم للأسف لا أحب فودافون ياريتني كنت معاهم  ,مصر,2022,3,30,negative
123,فودافون في المنصوره ودمياط واقعه بقالها فتره كبيره جدا جدا ومعظم اصحابي حولي لو شركه وي واورنج واتصالات,منصوره,2022,3,30,positive
124,فودافون بتحتفل معانا برمضان اجماعة  ,Egypt,2022,3,30,positive
125,ههههههههههههههههههههههههههههههههه فودافون ,القاهرة,2022,3,30,positive
126,تفاصيل تعطل خدمات فودافون في بعض المناطق  الرابط   ,Egypt,2022,3,30,neutral
127,ده فودافون بعد متحل المشكله هتخصم منكم من هنا ليوم القيامه,"Cairo, Egypt",2022,3,30,negative
128,كل جنيه سرقتوه منى هاخده فودافون,𝐌𝐀𝐍𝐒𝐎𝐔𝐑𝐀,2022,3,30,negative
129,فيه عطل ف شركه فودافون والنت شغال ببلاش افتحوا الداتا وهيصوا   فودافون,"Cairo, Egypt",2022,3,30,negative
130,عمال انزل برامج من على النت بلاش أنا مبسوط أن جزء من حقي بيرجع من فودافون,"Cairo, Egypt",2022,3,30,negative
131,فودافون بصي بقى احنا  دخلين على شهر كريم فا مصاريف طلبات البت والعيد والصيف خليها  عليك الشهر دا وبلاش فاتوره ,Egypt,2022,3,30,negative
132,فودافون يا باشمهندس شريحه ايه اللي أخلعها واركبها تاني امال إزاي انتو اقوي شبكة في مصر ,مصر,2022,3,30,negative
133,فودافون كان نفسي اشارك معاكم في التريند  بس أنا شبكة أورنج واتصالات ,الإسكندرية,2022,3,30,neutral
134,فودافون أقوي شبكة في مصر   ما أنا عرفت  ,Hurgada,2022,3,30,negative
135,فودافون ناو ,Egypt ,2022,3,30,neutral
136,ده فودافون بعد متحل المشكله هتخصم منكم من هنا ليوم القيامه,مصر,2022,3,30,negative
137,و انا الي كنت فاكره المشكله فالفون  فودافون,El Sharkia,2022,3,30,negative
138,مبسوط من قلبى لروح قلبى فودافون,tanta,2022,3,30,negative
139,فودافون فرحان فيكوا ي ولاد الحرميه,Egypt,2022,3,30,negative
140,النت في ذمه الله فودافون,tanta,2022,3,30,negative
141,فودافون فودفون نظام الحمايه عندهم تعبان اصلا وعلطوا باخد منهم نت عن طريق  بقالي سنه ونص,Tanta,2022,3,30,negative
142,كان يعجبه الفأل  الشيخ عبدالسلام الشويعر    فودافون,Egypt,2022,3,30,positive
143,اسرقوافودافون زي اما بيسرقونا  فودافون ,Egypt,2022,3,30,negative
144,اتصالات بعد ال اللي حصل هتبدأ لإعلان النص التاني من رمضان فودافون ,Egypt,2022,3,30,neutral
145,اللى معاه شريحه فودافون يشغلها بقى داوقتى علشان عليها انترنت مجانى لحد ما السيستم بتاعهم يرجع تانى  فودافون,"Cairo, Egypt",2022,3,30,negative
146,أنا فرحان بسبب فودافون جدا دلوقتى  عشان سرقانى ف متين جنيه رصيد صافى,Egypt,2022,3,30,negative
147,يخي يبخت اي حد عندو خط فواد فون   فودافون,"الجيزة, مصر",2022,3,30,negative
148,فيه حاجة غريبة بالنسبة لي أنا باقتي بتاعة فودافون خلصانة ولسة هتتجدد يوم  تلقائي بس لقيتها شغالة وفيها جيجابايتس  هي الحداية بقت تحدف كتاكيت كدة,"Cairo, Egypt",2022,3,30,negative
149,فودافون اسرقوافودافون زى ما بتسرقكوا ,Egypt,2022,3,30,negative
150,سيستم فودافون واقع والنت مفتوح وسريع جدا وبحمل أفلام ,"Cairo, Egypt",2022,3,30,neutral
151,فودافون اسوء شبكه في مصر,Mansoura,2022,3,30,negative
152,فيتو  أول رد من فودافون على عطل الشبكة في مصر   ,مصر,2022,3,30,neutral
153,شبكة فودافون في ذمة الله ولا عزاء للموبيلات   ,cairo,2022,3,30,negative
154,مصرالسنغال صلاح  فودافون السيسيبيسلممصر   صورة أصعب م الهزيمة شاديجاهين ,مصر,2022,3,30,negative
155,كله زفت فودافون,"القاهرة, مصر",2022,3,30,negative
156,فودافون دي كل ما بتعمل إعلانات للمنتخب بيخسر ما شاء الله  شركة عسل غير انهم نصابين وحرامية  قال ميهمش هاني ولا سامي ههخه فودافون ,مصر,2022,3,30,negative
157,يا جماعه سيستم فودافون وقعت والنت ببلاش دى فرحه الشعب المصرى  فودافون بضحى, El mansoura,2022,3,30,positive
158,علشان لما نقول إن اتصالات احسن شبكة مصر محدش مصدق  اتصالاتاقويشبكةفيمصر  فودافون,"القاهرة, مصر",2022,3,30,positive
159,فودافون الحمدلله ربنا نجاني من سنة وهربت من الماساة دي وحولت اورانج بنفس الرقم  بعد تقريبا  سنة فودافون,"Giza, Egypt",2022,3,30,positive
160,انا بعاني منها بقالي اربع شهور   فودافون,Beni Suef,2022,3,30,negative
161,الشبكة فيها مشكلة في فودافون فودافون,EGYPT ,2022,3,30,negative
162,شبكة فودافون النهارده صباح الفل الشبكة لزماكوا ف حاجه فودافون ,"Cairo, Egypt",2022,3,30,negative
163,نكلم خدمه العملاء يقولولي شيل الخط وجربه في موبايل تاني حتي مش معترفين بالخطأ بتاعهم وسقوط الشبكه ارحموا عقولنا فودافون,"القاهرة, مصر",2022,3,30,negative
164,الشبكه واقعه ليه فودافون,"القاهرة, مصر",2022,3,30,negative
165,تعطل خدمات فودافون في بعض المناطق والشركة تعلق   ,"Cairo, Egypt",2022,3,30,negative
166, ده حال شبكة فودافون النهارده ,Egypt,2022,3,30,negative
167,عطل مفاجئ في شبكة فودافون والشركة نعمل على حلها ,"Cairo, Egypt",2022,3,30,negative
168,بعد سقوط شبكة فودافون مسؤول بالشركة جار العمل على إصلاح العطل  ,"Cairo, Egypt",2022,3,30,neutral
169,عاجل عطل فني يصيب شبكة فودافون في مصر والشركة تقول إنها تعمل على إصلاحه في أقرب وقت هل تعرضت لعطل في شبكة فودافون ,"Cairo, Egypt",2022,3,30,neutral
170,المشكلة في فودافون عامة  بعض الابراج بتشتغل وبعدين تخرج من الخدمة اللي مفعل وضع  مع اختيار ال  يلغيه وممكن يجرب يتنقل مابين   او   خدمة سيئة مفيش جديد     ,"Cairo, Egypt",2022,3,30,negative
